Country,CustomerID,InvoiceDate,InvoiceNo,Number_article,Price,Recency
United Kingdom,17850.0,2010-12-01 08:26:00,536365.0,7.0,139.12,373.0
United Kingdom,17850.0,2010-12-01 08:28:00,536366.0,2.0,22.200000000000003,373.0
United Kingdom,13047.0,2010-12-01 08:34:00,536367.0,12.0,278.73,373.0
United Kingdom,13047.0,2010-12-01 08:34:00,536368.0,4.0,70.05000000000001,373.0
United Kingdom,13047.0,2010-12-01 08:35:00,536369.0,1.0,17.85,373.0
France,12583.0,2010-12-01 08:45:00,536370.0,20.0,855.86,373.0
United Kingdom,13748.0,2010-12-01 09:00:00,536371.0,1.0,204.0,373.0
United Kingdom,17850.0,2010-12-01 09:01:00,536372.0,2.0,22.200000000000003,373.0
United Kingdom,17850.0,2010-12-01 09:02:00,536373.0,16.0,259.86,373.0
United Kingdom,15100.0,2010-12-01 09:09:00,536374.0,1.0,350.4,373.0
United Kingdom,17850.0,2010-12-01 09:32:00,536375.0,16.0,259.86,373.0
United Kingdom,15291.0,2010-12-01 09:32:00,536376.0,2.0,328.8,373.0
United Kingdom,17850.0,2010-12-01 09:34:00,536377.0,2.0,22.200000000000003,373.0
United Kingdom,14688.0,2010-12-01 09:37:00,536378.0,19.0,444.98,373.0
United Kingdom,17809.0,2010-12-01 09:41:00,536380.0,1.0,34.8,373.0
United Kingdom,15311.0,2010-12-01 09:41:00,536381.0,35.0,449.9800000000001,373.0
United Kingdom,16098.0,2010-12-01 09:45:00,536382.0,12.0,430.59999999999997,373.0
United Kingdom,18074.0,2010-12-01 09:53:00,536384.0,13.0,489.6,373.0
United Kingdom,17420.0,2010-12-01 09:56:00,536385.0,7.0,130.85,373.0
United Kingdom,16029.0,2010-12-01 09:57:00,536386.0,3.0,508.20000000000005,373.0
United Kingdom,16029.0,2010-12-01 09:58:00,536387.0,5.0,3193.92,373.0
United Kingdom,16250.0,2010-12-01 09:59:00,536388.0,14.0,226.14,373.0
Australia,12431.0,2010-12-01 10:03:00,536389.0,14.0,358.25,373.0
United Kingdom,17511.0,2010-12-01 10:19:00,536390.0,24.0,1825.74,373.0
United Kingdom,13705.0,2010-12-01 10:29:00,536392.0,10.0,318.14000000000004,373.0
United Kingdom,13747.0,2010-12-01 10:37:00,536393.0,1.0,79.6,373.0
United Kingdom,13408.0,2010-12-01 10:39:00,536394.0,11.0,1024.6800000000003,373.0
United Kingdom,13767.0,2010-12-01 10:47:00,536395.0,14.0,507.88000000000005,373.0
United Kingdom,17850.0,2010-12-01 10:51:00,536396.0,18.0,376.36,373.0
United Kingdom,17924.0,2010-12-01 10:51:00,536397.0,2.0,279.0,373.0
United Kingdom,13448.0,2010-12-01 10:52:00,536398.0,17.0,426.56000000000006,373.0
United Kingdom,17850.0,2010-12-01 10:52:00,536399.0,2.0,22.200000000000003,373.0
United Kingdom,13448.0,2010-12-01 10:53:00,536400.0,1.0,17.4,373.0
United Kingdom,15862.0,2010-12-01 11:21:00,536401.0,64.0,354.22999999999996,373.0
United Kingdom,15513.0,2010-12-01 11:22:00,536402.0,3.0,357.0,373.0
Netherlands,12791.0,2010-12-01 11:27:00,536403.0,2.0,192.60000000000002,373.0
United Kingdom,16218.0,2010-12-01 11:29:00,536404.0,28.0,471.30000000000007,373.0
United Kingdom,14045.0,2010-12-01 11:32:00,536405.0,1.0,326.4,373.0
United Kingdom,17850.0,2010-12-01 11:33:00,536406.0,17.0,353.14,373.0
United Kingdom,17850.0,2010-12-01 11:34:00,536407.0,2.0,22.200000000000003,373.0
United Kingdom,14307.0,2010-12-01 11:41:00,536408.0,48.0,783.1099999999999,373.0
United Kingdom,17908.0,2010-12-01 11:45:00,536409.0,58.0,243.27999999999997,373.0
United Kingdom,17920.0,2010-12-01 11:49:00,536412.0,81.0,514.41,373.0
United Kingdom,12838.0,2010-12-01 11:57:00,536415.0,59.0,390.78999999999996,373.0
United Kingdom,13255.0,2010-12-01 11:58:00,536416.0,6.0,225.7,373.0
United Kingdom,16583.0,2010-12-01 12:03:00,536420.0,14.0,233.45000000000002,373.0
United Kingdom,18085.0,2010-12-01 12:08:00,536423.0,9.0,303.90000000000003,373.0
United Kingdom,13758.0,2010-12-01 12:08:00,536425.0,17.0,362.44999999999993,373.0
United Kingdom,13694.0,2010-12-01 12:12:00,536437.0,6.0,842.12,373.0
United Kingdom,15983.0,2010-12-01 12:15:00,536446.0,32.0,440.89,373.0
United Kingdom,14849.0,2010-12-01 12:22:00,536460.0,14.0,295.53999999999996,373.0
United Kingdom,14849.0,2010-12-01 12:22:00,536463.0,1.0,17.4,373.0
United Kingdom,17968.0,2010-12-01 12:23:00,536464.0,85.0,277.35,373.0
United Kingdom,14849.0,2010-12-01 12:23:00,536466.0,2.0,42.9,373.0
United Kingdom,16210.0,2010-12-01 12:27:00,536477.0,14.0,2474.7399999999993,373.0
United Kingdom,17897.0,2010-12-01 12:31:00,536488.0,35.0,165.88999999999996,373.0
United Kingdom,17377.0,2010-12-01 12:35:00,536500.0,15.0,223.89999999999998,373.0
United Kingdom,16552.0,2010-12-01 12:36:00,536502.0,5.0,95.29,373.0
United Kingdom,17181.0,2010-12-01 12:38:00,536508.0,2.0,155.52,373.0
United Kingdom,17951.0,2010-12-01 12:40:00,536514.0,5.0,295.50000000000006,373.0
United Kingdom,14729.0,2010-12-01 12:43:00,536520.0,71.0,313.49000000000007,373.0
United Kingdom,12748.0,2010-12-01 12:48:00,536521.0,1.0,4.95,373.0
United Kingdom,15012.0,2010-12-01 12:49:00,536522.0,54.0,191.05999999999997,373.0
United Kingdom,12868.0,2010-12-01 12:50:00,536523.0,12.0,203.29999999999998,373.0
United Kingdom,17572.0,2010-12-01 12:51:00,536524.0,4.0,70.80000000000001,372.0
United Kingdom,14078.0,2010-12-01 12:54:00,536525.0,13.0,136.24,372.0
United Kingdom,14001.0,2010-12-01 12:58:00,536526.0,9.0,301.24,372.0
Germany,12662.0,2010-12-01 13:04:00,536527.0,15.0,261.48,372.0
United Kingdom,15525.0,2010-12-01 13:17:00,536528.0,57.0,313.93,372.0
United Kingdom,14237.0,2010-12-01 13:20:00,536529.0,9.0,161.00000000000003,372.0
United Kingdom,17905.0,2010-12-01 13:21:00,536530.0,23.0,201.74999999999994,372.0
United Kingdom,15485.0,2010-12-01 13:23:00,536531.0,23.0,950.0899999999999,372.0
Norway,12433.0,2010-12-01 13:24:00,536532.0,73.0,1919.1399999999999,372.0
United Kingdom,16955.0,2010-12-01 13:31:00,536533.0,6.0,156.09999999999997,372.0
United Kingdom,15350.0,2010-12-01 13:33:00,536534.0,5.0,115.65,372.0
